Favorite Color,Favorite Music Genre,Favorite Beverage,Favorite Soft Drink,Gender Probablity,Gender
Cool,Rock,Vodka,7UP/Sprite,0.782756855410661,0
Neutral,Hip hop,Vodka,Coca Cola/Pepsi,0.6927586529859022,0
Warm,Rock,Wine,Coca Cola/Pepsi,0.8416839921346383,0
Warm,Folk/Traditional,Whiskey,Fanta,0.8870216583079704,0
Cool,Rock,Vodka,Coca Cola/Pepsi,0.6728501099821396,0
Warm,Jazz/Blues,Doesn't drink,Fanta,0.6821376543739768,0
Cool,Pop,Beer,Coca Cola/Pepsi,0.5072721562525251,0
Warm,Pop,Whiskey,Fanta,0.8961859780914998,0
Warm,Rock,Other,7UP/Sprite,0.7241898682308292,0
Neutral,Pop,Wine,Coca Cola/Pepsi,0.6204130052644441,0
Cool,Pop,Other,7UP/Sprite,0.5065550282119465,0
Warm,Pop,Other,7UP/Sprite,0.879354309981548,0
Warm,Pop,Wine,7UP/Sprite,0.5912361608768366,0
Warm,Electronic,Wine,Coca Cola/Pepsi,0.7082216335620801,0
Cool,Rock,Beer,Coca Cola/Pepsi,0.5579032585692768,0
Warm,Jazz/Blues,Wine,Coca Cola/Pepsi,0.9106726950067514,0
Cool,Pop,Wine,7UP/Sprite,0.840235874675155,0
Cool,Rock,Other,Coca Cola/Pepsi,0.905815056947481,0
Cool,Rock,Other,Coca Cola/Pepsi,0.8654152072349836,0
Cool,Pop,Doesn't drink,7UP/Sprite,0.7750774461836096,0
Cool,Pop,Beer,Fanta,0.70187535422174,0
Warm,Jazz/Blues,Whiskey,Fanta,0.5871440544121227,0
Cool,Rock,Vodka,Coca Cola/Pepsi,0.9036666587764746,0
Warm,Pop,Other,Coca Cola/Pepsi,0.7224615483700437,0
Cool,Folk/Traditional,Whiskey,7UP/Sprite,0.5054086892567746,0
Warm,R&B and soul,Whiskey,Coca Cola/Pepsi,0.5789254418792513,0
Cool,Pop,Beer,Other,0.581807650695062,0
Cool,Pop,Doesn't drink,Other,0.5797643632358949,0
Cool,Pop,Doesn't drink,Coca Cola/Pepsi,0.7737421555756059,0
Cool,Electronic,Doesn't drink,Fanta,0.5989848180434048,0
Warm,Rock,Other,Coca Cola/Pepsi,0.70168498534629,0
Neutral,Rock,Beer,Coca Cola/Pepsi,0.5588720356365976,0
Cool,R&B and soul,Beer,Coca Cola/Pepsi,0.8578446332344174,0
Warm,R&B and soul,Wine,Other,0.1506725933817359,1
Neutral,Hip hop,Beer,7UP/Sprite,0.20350113787613314,1
Warm,Electronic,Other,Coca Cola/Pepsi,0.10438495320182455,1
Neutral,Rock,Doesn't drink,Coca Cola/Pepsi,0.2689498313504664,1
Cool,Pop,Other,Fanta,0.39642606358367205,1
Cool,Pop,Whiskey,Fanta,0.36823400978639104,1
Warm,Rock,Vodka,7UP/Sprite,0.2292286392419912,1
Cool,Rock,Vodka,Coca Cola/Pepsi,0.41185289550052523,1
Neutral,Pop,Doesn't drink,7UP/Sprite,0.25799770057390375,1
Warm,R&B and soul,Doesn't drink,Coca Cola/Pepsi,0.29699153820299123,1
Cool,Rock,Wine,7UP/Sprite,0.138512115361056,1
Cool,Folk/Traditional,Beer,Other,0.06537133468301562,1
Cool,Hip hop,Beer,Coca Cola/Pepsi,0.3362395926107199,1
Cool,Hip hop,Wine,Coca Cola/Pepsi,0.3376014589386032,1
Cool,R&B and soul,Whiskey,7UP/Sprite,0.4132130421229855,1
Cool,Rock,Doesn't drink,Other,0.17816789146654008,1
Warm,Hip hop,Beer,Coca Cola/Pepsi,0.4486854804815923,1
Cool,R&B and soul,Doesn't drink,Coca Cola/Pepsi,0.3104254653466995,1
Cool,Rock,Doesn't drink,Coca Cola/Pepsi,0.06348961688794122,1
Cool,Hip hop,Doesn't drink,Other,0.23806173630006067,1
Warm,Rock,Beer,Fanta,0.3657382639654948,1
Cool,Electronic,Doesn't drink,Fanta,0.3491057219014299,1
Cool,Electronic,Other,Fanta,0.2524395041609876,1
Warm,Folk/Traditional,Other,Fanta,0.07388977729188008,1
Warm,Electronic,Vodka,Fanta,0.18780729548888425,1
Warm,Jazz/Blues,Vodka,Coca Cola/Pepsi,0.2436472583362089,1
Cool,Pop,Whiskey,Other,0.4698669811726139,1
Cool,Electronic,Whiskey,Coca Cola/Pepsi,0.2130871750968463,1
Cool,Rock,Vodka,Coca Cola/Pepsi,0.15646564212396782,1
Cool,Hip hop,Beer,Coca Cola/Pepsi,0.09161183948690615,1
Neutral,Hip hop,Doesn't drink,Fanta,0.46826060304854844,1
Cool,Rock,Wine,Coca Cola/Pepsi,0.47716357963430667,1
Cool,Electronic,Beer,Coca Cola/Pepsi,0.27439161258859124,1
